GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simonworks-context-web-impl,org.simonworks.projects.context.annotations,HttpVerb,0,54,0,0,0,6,0,1,0,1
simonworks-context-web-impl,org.simonworks.projects.context,DefaultWebBeanContext,17,4,2,0,6,2,3,1,2,1
simonworks-context-web-impl,org.simonworks.projects.context,WebMethod.WebParam,23,110,2,0,7,20,5,6,4,6
simonworks-context-web-impl,org.simonworks.projects.context,WebBeanRegistryProvider,14,17,0,0,5,6,3,2,3,2
simonworks-context-web-impl,org.simonworks.projects.context,WebResourceProcessor,0,60,0,4,0,16,0,4,0,2
simonworks-context-web-impl,org.simonworks.projects.context,WebMethodBuilder,15,149,7,17,4,29,7,9,0,4
simonworks-context-web-impl,org.simonworks.projects.context,WebBeanInfo,19,245,5,5,5,52,9,15,5,14
simonworks-context-web-impl,org.simonworks.projects.context,WebPathIterator,4,65,1,5,1,13,1,5,0,3
simonworks-context-web-impl,org.simonworks.projects.context,WebBeanRegistry,3,30,1,3,1,6,2,5,1,4
simonworks-context-web-impl,org.simonworks.projects.context,VersionableUriWebResourceProcessor,4,23,1,1,1,6,1,2,0,2
simonworks-context-web-impl,org.simonworks.projects.context,WebMethod,28,139,9,9,5,33,11,11,5,8
