GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simonworks-core,org.simonworks.projects.conversion.json,JsonSerializer_old,6,3,0,0,2,1,1,1,1,1
simonworks-core,org.simonworks.projects.conversion.json,JsonObject,79,33,0,0,17,10,6,3,6,3
simonworks-core,org.simonworks.projects.conversion.json,NumberParsers.JsonFloatParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.conversion.json,InvalidJson,9,0,0,0,4,0,2,0,2,0
simonworks-core,org.simonworks.projects.conversion.json,NumberParsers.JsonLongParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.conversion.json,JsonReader,18,48,3,1,5,16,5,5,3,5
simonworks-core,org.simonworks.projects.conversion.json,JsonValue,89,19,16,0,19,5,12,4,4,4
simonworks-core,org.simonworks.projects.conversion.json,JsonBooleanParser,0,77,0,10,0,15,0,11,0,6
simonworks-core,org.simonworks.projects.conversion.json,NumberParsers,0,45,0,0,0,9,0,2,0,2
simonworks-core,org.simonworks.projects.conversion.json,NumberParsers.JsonShortParser,12,5,4,0,2,2,4,2,2,2
simonworks-core,org.simonworks.projects.conversion.json,JsonValue.new JsonValue() {...},0,8,0,0,0,3,0,3,0,3
simonworks-core,org.simonworks.projects.conversion.json,JsonDeserializer_old,38,29,1,1,7,8,6,4,5,4
simonworks-core,org.simonworks.projects.conversion.json,JsonValue.new JsonValue() {...},9,0,0,0,2,0,2,0,2,0
simonworks-core,org.simonworks.projects.conversion.json,JsonValue.new JsonValue() {...},0,16,0,0,0,5,0,2,0,2
simonworks-core,org.simonworks.projects.conversion.json,JsonSerializer,13,0,0,0,3,0,2,0,2,0
simonworks-core,org.simonworks.projects.conversion.json,JsonParser,50,61,1,9,9,15,3,7,2,3
simonworks-core,org.simonworks.projects.conversion.json,JsonParseException,8,8,0,0,4,4,2,2,2,2
simonworks-core,org.simonworks.projects.conversion.json,NumberParsers.JsonByteParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.conversion.json,JsonStringParser,0,49,0,6,0,14,0,6,0,3
simonworks-core,org.simonworks.projects.conversion.json,JsonReadException,12,4,0,0,6,2,3,1,3,1
simonworks-core,org.simonworks.projects.conversion.json,JsonDeserializer,15,0,0,0,3,0,2,0,2,0
simonworks-core,org.simonworks.projects.conversion.json,JsonCharArrayReader,42,158,5,15,8,33,6,17,2,11
simonworks-core,org.simonworks.projects.conversion.json,AbstractJsonElement,0,16,0,0,0,6,0,3,0,3
simonworks-core,org.simonworks.projects.conversion.json,TypeCreator,3,0,0,0,1,0,1,0,1,0
simonworks-core,org.simonworks.projects.conversion.json,NumberParsers.JsonDoubleParser,0,17,0,4,0,4,0,6,0,4
simonworks-core,org.simonworks.projects.conversion.json,JsonJavaReader,81,160,6,14,23,37,6,20,2,14
simonworks-core,org.simonworks.projects.conversion.json,Parsers,88,0,9,0,28,0,10,0,2,0
simonworks-core,org.simonworks.projects.conversion.json,NumberParsers.JsonIntegerParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.proxies,AbstractInvocationHandler,9,0,0,0,4,0,2,0,2,0
simonworks-core,org.simonworks.projects.proxies,ProxyFactory,16,0,0,0,4,0,2,0,2,0
simonworks-core,org.simonworks.projects.proxies,ExecutionTimerInvocationHandler,43,0,2,0,8,0,4,0,3,0
simonworks-core,org.simonworks.projects.fsm,FSM.TransitionWrapper,25,0,2,0,8,0,4,0,3,0
simonworks-core,org.simonworks.projects.fsm,FSM,429,0,24,0,81,0,43,0,31,0
simonworks-core,org.simonworks.projects.fsm,ExitAction,19,0,2,0,7,0,3,0,2,0
simonworks-core,org.simonworks.projects.fsm,LifoStorableMemoryState,28,0,0,0,10,0,5,0,5,0
simonworks-core,org.simonworks.projects.fsm,StateTransitionException,16,0,0,0,8,0,4,0,4,0
simonworks-core,org.simonworks.projects.fsm,IFiniteStateMachine,8,0,2,0,2,0,3,0,2,0
simonworks-core,org.simonworks.projects.fsm,State,1,0,0,0,1,0,1,0,1,0
simonworks-core,org.simonworks.projects.fsm,FiniteStateMachine,111,0,6,0,33,0,17,0,14,0
simonworks-core,org.simonworks.projects.fsm,MapStatesContext,44,0,0,0,16,0,6,0,6,0
simonworks-core,org.simonworks.projects.fsm,FsmState,19,0,0,0,6,0,2,0,2,0
simonworks-core,org.simonworks.projects.utils,Assertions,54,15,7,3,19,7,11,4,7,3
simonworks-core,org.simonworks.projects.utils,AssertionError,19,4,0,0,8,2,4,1,4,1
simonworks-core,org.simonworks.projects.utils,CollectionUtils,32,0,14,0,5,0,10,0,3,0
simonworks-core,org.simonworks.projects.utils,StringUtils,59,9,6,4,9,1,7,3,4,1
simonworks-core,org.simonworks.projects.domain,NotExistsException,23,0,0,0,10,0,5,0,5,0
simonworks-core,org.simonworks.projects.domain,Clearable,0,13,0,2,0,5,0,2,0,1
simonworks-core,org.simonworks.projects.domain,Couple,74,0,10,0,14,0,12,0,7,0
simonworks-core,org.simonworks.projects.domain,MethodInvocationException,16,0,0,0,8,0,4,0,4,0
simonworks-core,org.simonworks.projects.domain,NotWritableFieldException,16,0,0,0,8,0,4,0,4,0
simonworks-core,org.simonworks.projects.domain,AbstractHierarchical,0,17,0,0,0,5,0,3,0,3
simonworks-core,org.simonworks.projects.domain,DataMapper,4,0,0,0,1,0,1,0,1,0
simonworks-core,org.simonworks.projects.domain,ReflectionSupport,373,0,24,0,81,0,24,0,12,0
simonworks-core,org.simonworks.projects.conversion,StringConversionUtils,79,0,0,0,18,0,4,0,4,0
simonworks-core,org.simonworks.projects.conversion,DeserializationException,16,0,0,0,8,0,4,0,4,0
simonworks-core,org.simonworks.projects.conversion,Deserializer,0,8,0,0,0,1,0,1,0,1
simonworks-core,org.simonworks.projects.reflection,Instantiator,4,0,0,0,1,0,1,0,1,0
simonworks-core,org.simonworks.projects.reflection,AccessibleObjectAllower,0,28,2,2,0,10,2,2,0,2
simonworks-core,org.simonworks.projects.reflection,Typed,92,28,16,2,28,10,15,2,6,2
simonworks-core,org.simonworks.projects.reflection,CreatorFactory,31,0,2,0,8,0,4,0,3,0
simonworks-core,org.simonworks.projects.reflection,ObjectCreator,4,0,0,0,1,0,1,0,1,0
simonworks-core,org.simonworks.projects.reflection,ReflectionSupport,347,83,25,4,72,20,26,5,12,4
simonworks-core,org.simonworks.projects.configurations,PropertiesFileConfiguration,14,43,0,0,4,10,1,3,1,3
simonworks-core,org.simonworks.projects.configurations,ExernalPropertyFileConfiguration,9,0,0,0,3,0,2,0,2,0
simonworks-core,org.simonworks.projects.configurations,ClasspathPropertiesFileConfiguration,0,13,0,0,0,7,0,2,0,2
simonworks-core,org.simonworks.projects.configurations,ConfigurationException,0,5,0,0,0,2,0,1,0,1
simonworks-core,org.simonworks.projects.configurations,Configuration,10,24,0,0,4,5,2,2,2,2
simonworks-core,org.simonworks.projects.factory,PostConstructPhase,14,27,0,0,2,9,0,4,0,4
simonworks-core,org.simonworks.projects.factory,DefaultBeanFactory,24,99,2,2,6,22,4,6,2,6
simonworks-core,org.simonworks.projects.factory,ConfigurationPhase,14,74,1,1,2,16,1,2,0,2
simonworks-core,org.simonworks.projects.factory,BeanCreationException,0,5,0,0,0,2,0,1,0,1
simonworks-core,org.simonworks.projects.factory,ProxyBeanFactory,3,0,0,0,1,0,1,0,1,0
simonworks-core,org.simonworks.projects.coversion.json,JsonValue.new JsonValue() {...},0,16,0,0,0,5,0,2,0,2
simonworks-core,org.simonworks.projects.coversion.json,JsonValue.new JsonValue() {...},9,0,0,0,2,0,2,0,2,0
simonworks-core,org.simonworks.projects.coversion.json,NumberParsers.JsonDoubleParser,0,17,0,4,0,4,0,6,0,4
simonworks-core,org.simonworks.projects.coversion.json,JsonReadException,12,4,0,0,6,2,3,1,3,1
simonworks-core,org.simonworks.projects.coversion.json,JsonValue.new JsonValue() {...},0,8,0,0,0,3,0,3,0,3
simonworks-core,org.simonworks.projects.coversion.json,JsonBooleanParser,0,77,0,10,0,15,0,11,0,6
simonworks-core,org.simonworks.projects.coversion.json,JsonCharArrayReader,42,158,5,15,8,33,6,17,2,11
simonworks-core,org.simonworks.projects.coversion.json,JsonDeserializer,385,0,46,0,100,0,37,0,14,0
simonworks-core,org.simonworks.projects.coversion.json,JsonStringParser,0,49,0,6,0,14,0,6,0,3
simonworks-core,org.simonworks.projects.coversion.json,NumberParsers.JsonIntegerParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.coversion.json,JsonParseException,8,8,0,0,4,4,2,2,2,2
simonworks-core,org.simonworks.projects.coversion.json,JsonValue,89,19,16,0,19,5,12,4,4,4
simonworks-core,org.simonworks.projects.coversion.json,NumberParsers.JsonShortParser,12,5,4,0,2,2,4,2,2,2
simonworks-core,org.simonworks.projects.coversion.json,AbstractJsonElement,0,16,0,0,0,6,0,3,0,3
simonworks-core,org.simonworks.projects.coversion.json,JsonParser,50,61,1,9,9,15,3,7,2,3
simonworks-core,org.simonworks.projects.coversion.json,NumberParsers.JsonFloatParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.coversion.json,JsonJavaReader,81,160,6,14,23,37,6,20,2,14
simonworks-core,org.simonworks.projects.coversion.json,JsonSerializer,6,3,0,0,2,1,1,1,1,1
simonworks-core,org.simonworks.projects.coversion.json,JsonReader,18,48,3,1,5,16,5,5,3,5
simonworks-core,org.simonworks.projects.coversion.json,InvalidJson,9,0,0,0,4,0,2,0,2,0
simonworks-core,org.simonworks.projects.coversion.json,NumberParsers.JsonLongParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.coversion.json,Parsers,88,0,9,0,28,0,10,0,2,0
simonworks-core,org.simonworks.projects.coversion.json,NumberParsers.JsonByteParser,17,0,4,0,4,0,6,0,4,0
simonworks-core,org.simonworks.projects.coversion.json,JsonObject,79,33,0,0,17,10,6,3,6,3
simonworks-core,org.simonworks.projects.coversion.json,NumberParsers,0,45,0,0,0,9,0,2,0,2
